Date,Value
2018-09-30,0.087740384615385
2018-08-31,0.072289156626506
2018-07-31,0.054413542926239
2018-06-30,0.046172539489672
2018-05-31,0.036585365853658
2018-04-30,0.029411764705882
2018-03-31,0.029556650246305
2018-02-28,0.038461538461538
2018-01-31,0.0425
2017-12-31,0.046540880503145
2017-11-30,0.053097345132743
2017-10-31,0.061146496815287
2017-09-30,0.066666666666667
2017-08-31,0.064102564102564
2017-07-31,0.058898847631242
2017-06-30,0.061935483870968
2017-05-31,0.066319895968791
2017-04-30,0.065274151436031
2017-03-31,0.068421052631579
2017-02-28,0.070385126162019
2017-01-31,0.07095046854083
2016-12-31,0.071428571428571
2016-11-30,0.071815718157182
2016-10-31,0.069482288828338
2016-09-30,0.065573770491803
2016-08-31,0.065573770491803
2016-07-31,0.066939890710383
2016-06-30,0.063100137174211
2016-05-31,0.062154696132597
2016-04-30,0.063888888888889
2016-03-31,0.06145251396648
2016-02-29,0.059071729957806
2016-01-31,0.055084745762712
2015-12-31,0.052482269503546
2015-11-30,0.052781740370899
2015-10-31,0.053084648493544
2015-09-30,0.054755043227666
2015-08-31,0.057803468208092
2015-07-31,0.059334298118669
2015-06-30,0.058055152394775
2015-05-31,0.049275362318841
2015-04-30,0.038961038961039
2015-03-31,0.036179450072359
2015-02-28,0.036443148688047
2015-01-31,0.038123167155425
2014-12-31,0.035242290748899
2014-11-30,0.03240058910162
2014-10-31,0.034124629080119
2014-09-30,0.038922155688623
2014-08-31,0.042168674698795
2014-07-31,0.042232277526395
2014-06-30,0.037650602409639
2014-05-31,0.040723981900452
2014-04-30,0.051593323216995
2014-03-31,0.051750380517504
2014-02-28,0.042553191489362
2014-01-31,0.038051750380518
2013-12-31,0.03969465648855
2013-11-30,0.03822629969419
2013-10-31,0.035330261136713
2013-09-30,0.029275808936826
