Date,Short Volume,Total Volume
2018-03-01,125966.0,217109.0
2018-02-28,84532.0,142200.0
2018-02-27,78668.0,152233.0
2018-02-26,46695.0,80157.0
2018-02-23,58420.0,92512.0
2018-02-22,54743.0,88665.0
2018-02-21,63622.0,108770.0
2018-02-20,52869.0,89274.0
2018-02-16,79694.0,129861.0
2018-02-15,63634.0,104304.0
2018-02-14,61539.0,105138.0
2018-02-13,52934.0,82950.0
2018-02-12,75374.0,125458.0
2018-02-09,190039.0,303074.0
2018-02-08,88788.0,156936.0
2018-02-07,52549.0,103361.0
2018-02-06,88209.0,191256.0
2018-02-05,90452.0,186135.0
2018-02-02,146837.0,277676.0
2018-02-01,63437.0,142673.0
2018-01-31,29460.0,66559.0
2018-01-30,32170.0,79723.0
2018-01-29,33861.0,66812.0
2018-01-26,44300.0,103974.0
2018-01-25,24834.0,58715.0
2018-01-24,35099.0,84644.0
2018-01-23,28885.0,66476.0
2018-01-22,36680.0,65766.0
2018-01-19,26011.0,61247.0
2018-01-18,29830.0,70973.0
2018-01-17,33312.0,67355.0
2018-01-16,45544.0,93845.0
2018-01-12,60723.0,116198.0
2018-01-11,24178.0,47844.0
2018-01-10,25837.0,52210.0
2018-01-09,30190.0,57721.0
2018-01-08,20697.0,47705.0
2018-01-05,36692.0,83149.0
2018-01-04,27433.0,55696.0
2018-01-03,31422.0,75761.0
2018-01-02,39051.0,88513.0
2017-12-29,20854.0,45399.0
2017-12-28,22354.0,48650.0
2017-12-27,19435.0,44067.0
2017-12-26,13147.0,29543.0
2017-12-22,12736.0,36852.0
2017-12-21,26492.0,62215.0
2017-12-20,25939.0,56669.0
2017-12-19,32614.0,60955.0
2017-12-18,26594.0,66082.0
2017-12-15,68232.0,119379.0
2017-12-14,28214.0,63677.0
2017-12-13,24970.0,61591.0
2017-12-12,38545.0,81175.0
2017-12-11,19492.0,43194.0
2017-12-08,25906.0,65817.0
2017-12-07,25746.0,56311.0
2017-12-06,23102.0,56953.0
2017-12-05,38616.0,83030.0
2017-12-04,35713.0,76536.0
2017-12-01,37563.0,78999.0
2017-11-30,39177.0,93361.0
2017-11-29,52409.0,97912.0
2017-11-28,40671.0,66954.0
2017-11-27,39490.0,64245.0
2017-11-24,28724.0,44291.0
2017-11-22,17306.0,32865.0
2017-11-21,25725.0,43459.0
2017-11-20,17550.0,37056.0
2017-11-17,23084.0,54049.0
2017-11-16,27398.0,53286.0
2017-11-15,19370.0,37201.0
2017-11-14,18317.0,39928.0
2017-11-13,23897.0,42736.0
2017-11-10,25049.0,48466.0
2017-11-09,39866.0,81579.0
2017-11-08,27475.0,57123.0
2017-11-07,27304.0,42891.0
2017-11-06,24094.0,40458.0
2017-11-03,42148.0,80521.0
2017-11-02,28671.0,52229.0
2017-11-01,54577.0,98023.0
2017-10-31,38013.0,63608.0
2017-10-30,51034.0,86442.0
2017-10-27,109377.0,245703.0
2017-10-26,42292.0,85466.0
2017-10-25,26385.0,58752.0
2017-10-24,25479.0,55248.0
2017-10-23,29594.0,64356.0
2017-10-20,33297.0,92836.0
2017-10-19,32892.0,94121.0
2017-10-18,33435.0,67335.0
2017-10-17,23383.0,43582.0
2017-10-16,24889.0,54940.0
2017-10-13,41565.0,89607.0
2017-10-12,45454.0,71469.0
2017-10-11,39935.0,75238.0
2017-10-10,27118.0,51341.0
2017-10-09,20869.0,38967.0
2017-10-06,36077.0,74645.0
2017-10-05,40048.0,85810.0
2017-10-04,32463.0,52599.0
2017-10-03,34853.0,56894.0
2017-10-02,44076.0,78149.0
2017-09-29,50033.0,95803.0
2017-09-28,40213.0,74032.0
2017-09-27,51949.0,134509.0
2017-09-26,35055.0,77153.0
2017-09-25,40823.0,81744.0
2017-09-22,32187.0,65711.0
2017-09-21,31895.0,68428.0
2017-09-20,45152.0,102835.0
2017-09-19,30649.0,61110.0
2017-09-18,28799.0,59178.0
2017-09-15,42377.0,80215.0
2017-09-14,28510.0,59600.0
2017-09-13,23706.0,57661.0
2017-09-12,31046.0,59597.0
2017-09-11,35551.0,69891.0
2017-09-08,34367.0,59963.0
2017-09-07,30157.0,67796.0
2017-09-06,36960.0,63600.0
2017-09-05,44976.0,74270.0
2017-09-01,31624.0,59292.0
2017-08-31,46457.0,81894.0
2017-08-30,30070.0,60077.0
2017-08-29,34625.0,72232.0
2017-08-28,25123.0,48589.0
2017-08-25,30499.0,59208.0
2017-08-24,33159.0,63559.0
2017-08-23,34426.0,68381.0
2017-08-22,49195.0,91769.0
2017-08-21,24941.0,57901.0
2017-08-18,40004.0,73758.0
2017-08-17,53108.0,87845.0
2017-08-16,35579.0,65098.0
2017-08-15,26809.0,46099.0
2017-08-14,27096.0,55604.0
2017-08-11,42052.0,81125.0
2017-08-10,56312.0,124424.0
2017-08-09,32409.0,65694.0
2017-08-08,34818.0,64520.0
2017-08-07,41458.0,62455.0
2017-08-04,36617.0,64181.0
2017-08-03,33335.0,66547.0
2017-08-02,65126.0,119965.0
2017-08-01,33475.0,64389.0
2017-07-31,62866.0,129904.0
2017-07-28,52633.0,108692.0
2017-07-27,100135.0,189367.0
2017-07-26,55811.0,112330.0
2017-07-25,153093.0,308160.0
2017-07-24,90733.0,186736.0
2017-07-21,61309.0,100198.0
2017-07-20,43575.0,76561.0
2017-07-19,37764.0,70584.0
2017-07-18,35959.0,72950.0
2017-07-17,37443.0,72168.0
2017-07-14,38528.0,70713.0
2017-07-13,55550.0,116956.0
2017-07-12,55066.0,115170.0
2017-07-11,43994.0,85091.0
2017-07-10,45552.0,79906.0
2017-07-07,47100.0,97358.0
2017-07-06,58382.0,94974.0
2017-07-05,48567.0,104813.0
2017-07-03,41098.0,79648.0
2017-06-30,64172.0,113165.0
2017-06-29,88382.0,186546.0
2017-06-28,74514.0,130657.0
2017-06-27,74234.0,146492.0
2017-06-26,41634.0,84812.0
2017-06-23,40127.0,73905.0
2017-06-22,25620.0,56374.0
2017-06-21,37112.0,69611.0
2017-06-20,36318.0,77502.0
2017-06-19,52288.0,104593.0
2017-06-16,63356.0,113748.0
2017-06-15,71579.0,153616.0
2017-06-14,63607.0,100328.0
2017-06-13,52209.0,116312.0
2017-06-12,118981.0,216223.0
2017-06-09,102297.0,245884.0
2017-06-08,31702.0,72811.0
2017-06-07,30722.0,80729.0
2017-06-06,33469.0,69569.0
2017-06-05,40754.0,75994.0
2017-06-02,47699.0,107673.0
2017-06-01,29467.0,68800.0
2017-05-31,44180.0,81235.0
2017-05-30,32483.0,58229.0
2017-05-26,49885.0,91915.0
2017-05-25,55629.0,101748.0
2017-05-24,27240.0,46313.0
2017-05-23,44761.0,85575.0
2017-05-22,27733.0,53757.0
2017-05-19,29792.0,68138.0
2017-05-18,38228.0,85742.0
2017-05-17,56246.0,114351.0
2017-05-16,18975.0,38159.0
2017-05-15,31164.0,66376.0
2017-05-12,28421.0,59641.0
